Date,Region,total_streams
2017-01-12,tw,1131738
2017-01-12,us,61089468
2017-01-12,uy,532855
2017-01-13,ar,6404265
2017-01-13,at,867368
2017-01-13,au,7619497
2017-01-13,be,1257592
2017-01-13,bo,183592
2017-01-13,br,16018691
2017-01-13,ca,7569151
2017-01-13,ch,1177272
2017-01-13,cl,4879280
2017-01-13,co,2011458
2017-01-13,cr,851280
2017-01-13,cz,509784
2017-01-13,de,15072653
2017-01-13,dk,4418802
2017-01-13,do,351902
2017-01-13,ec,730773
2017-01-13,ee,84786
2017-01-13,es,8746629
2017-01-13,fi,3493809
2017-01-13,fr,7104496
2017-01-13,gb,19588561
2017-01-13,global,196079669
2017-01-13,gr,122745
2017-01-13,gt,356658
2017-01-13,hk,757981
2017-01-13,hn,200692
2017-01-13,hu,365645
2017-01-13,id,2552708
2017-01-13,ie,1605575
2017-01-13,is,145647
2017-01-13,it,4927142
2017-01-13,jp,341621
2017-01-13,lt,106396
2017-01-13,lu,14946
2017-01-13,lv,93755
2017-01-13,mx,15139537
2017-01-13,my,1554034
2017-01-13,nl,8074729
2017-01-13,no,5314645
2017-01-13,nz,2125165
2017-01-13,pa,277351
2017-01-13,pe,1875306
2017-01-13,ph,8603895
2017-01-13,pl,1978536
2017-01-13,pt,1236647
2017-01-13,py,352100
2017-01-13,se,9857940
2017-01-13,sg,1874197
2017-01-13,sk,79785
2017-01-13,sv,161540
2017-01-13,tr,1905914
2017-01-13,tw,1114500
2017-01-13,us,64350270
2017-01-13,uy,529631
2017-01-14,ar,6930669
2017-01-14,at,897526
2017-01-14,au,7262532
2017-01-14,be,1446942
2017-01-14,bo,177042
2017-01-14,br,15977627
2017-01-14,ca,7173195
2017-01-14,ch,1181320
2017-01-14,cl,4845406
2017-01-14,co,1899269
2017-01-14,cr,806360
2017-01-14,cz,456313
2017-01-14,de,16214397
2017-01-14,dk,4115380
2017-01-14,do,381688
2017-01-14,ec,773142
2017-01-14,ee,71208
2017-01-14,es,9421070
2017-01-14,fi,3433103
2017-01-14,fr,7869372
2017-01-14,gb,19916224
2017-01-14,global,192148430
2017-01-14,gr,138096
2017-01-14,gt,350339
2017-01-14,hk,742144
2017-01-14,hn,216169
2017-01-14,hu,360222
2017-01-14,id,2406605
2017-01-14,ie,1747074
2017-01-14,is,123758
2017-01-14,it,4968454
2017-01-14,jp,390788
2017-01-14,lt,95931
2017-01-14,lu,17213
2017-01-14,lv,71361
2017-01-14,mx,15397760
2017-01-14,my,1444845
2017-01-14,nl,8040359
2017-01-14,no,4916337
2017-01-14,nz,1931393
2017-01-14,pa,270918
2017-01-14,pe,1810062
2017-01-14,ph,8630598
2017-01-14,pl,2058331
2017-01-14,pt,1160518
2017-01-14,py,341325
2017-01-14,se,9235248
2017-01-14,sg,1764754
2017-01-14,sk,82630
2017-01-14,sv,156107
2017-01-14,tr,1888399
2017-01-14,tw,1022349
2017-01-14,us,60144577
2017-01-14,uy,543443
2017-01-15,ar,5797501
2017-01-15,at,741780
2017-01-15,au,7113529
2017-01-15,be,1302094
